gene,mean_abs_shap
GFM2,0.0
GEMIN8,0.0
GEMIN6,0.0
GEMIN5,0.0
GDPD5,0.0
GDF9,0.0
GDF3,0.0
GDE1,0.0
GCNT1,0.0
GCN1,0.0
GNB5,0.0
GNAI1,0.0
GMPR2,0.0
GM2A,0.0
GLUD1,0.0
GLRX5,0.0
GLRX3,0.0
GLMP,0.0
GLIPR1,0.0
GLG1,0.0
GLE1,0.0
GLDC,0.0
GLCE,0.0
GKAP1,0.0
GJC1,0.0
GJB5,0.0
GPALPP1,0.0
GOT1,0.0
GOSR1,0.0
GORASP2,0.0
GOPC,0.0
GOLIM4,0.0
GOLGA5,0.0
GOLGA3,0.0
GOLGA1,0.0
GNS,0.0
GNPTAB,0.0
GNPDA2,0.0
GNPAT,0.0
GNL3L,0.0
GNL1,0.0
GNG2,0.0
GSK3B,0.0
GRWD1,0.0
GRSF1,0.0
GRIP1,0.0
GRHPR,0.0
GREB1L,0.0
GPX8,0.0
GPX6,0.0
GPT2,0.0
GPN3,0.0
GPN1,0.0
GPD2,0.0
GPD1L,0.0
GPCPD1,0.0
GPC4,0.0
GPANK1,0.0
GYG1,0.0
GUSB,0.0
GUF1,0.0
GTSF1,0.0
GTF3C6,0.0
GTF3C1,0.0
GTF2I,0.0
GTF2H3,0.0
GTF2H1,0.0
GTF2B,0.0
GTF2A1,0.0
GSTO1,0.0
GSTM3,0.0
GSTA4,0.0
GSS,0.0
GSR,0.0
HELLS,0.0
HELB,0.0
HEATR5B,0.0
HEATR1,0.0
HDAC5,0.0
HDAC3,0.0
HDAC2,0.0
HCCS,0.0
HBS1L,0.0
HBEGF,0.0
HAUS1,0.0
HAPLN1,0.0
HAGH,0.0
HADHB,0.0
HADH,0.0
HACD3,0.0
HLCS,0.0
HK1,0.0
HIPK3,0.0
HIPK1,0.0
HIF1A,0.0
HIBCH,0.0
HIBADH,0.0
HHIP,0.0
HEY2,0.0
HEY1,0.0
HEXB,0.0
HERPUD2,0.0
HERC3,0.0
HERC1,0.0
HENMT1,0.0
HELZ,0.0
HSD17B12,0.0
HSD11B1L,0.0
HP1BP3,0.0
HOOK1,0.0
HNRNPK,0.0
HNF1B,0.0
HMOX2,0.0
HMMR,0.0
HMGN3,0.0
HMGCS1,0.0
HMGCR,0.0
HMGCL,0.0
HMG20A,0.0
HMCES,0.0
HMBOX1,0.0
HLTF,0.0
HYOU1,0.0
HYI,0.0
HYAL2,0.0
HUWE1,0.0
HTATIP2,0.0
HSPH1,0.0
HSPD1,0.0
HSPB8,0.0
HSPA4L,0.0
HSPA4,0.0
HSPA14,0.0
HSPA13,0.0
HSPA12B,0.0
HSF2,0.0
HSDL2,0.0
HSD17B7,0.0
IMP4,0.0
IL6ST,0.0
IL6R,0.0
IL13RA1,0.0
IGFBP7,0.0
IFT81,0.0
IFT74,0.0
IFT57,0.0
IFT46,0.0
IFT172,0.0
IFRD1,0.0
IFIT5,0.0
IFI30,0.0
ID2,0.0
ICE2,0.0
IBTK,0.0
INTS8,0.0
INTS6,0.0
INTS2,0.0
INTS14,0.0
INTS13,0.0
INTS12,0.0
INTS11,0.0
INTS10,0.0
INSIG1,0.0
INPP1,0.0
INO80D,0.0
INO80,0.0
INIP,0.0
ING3,0.0
IMPDH1,0.0
AHSA1,0.0
AHI1,0.0
AHCTF1,0.0
AGTRAP,0.0
ISOC1,0.0
ISL1,0.0
ISG20L2,0.0
IRF6,0.0
IRAK4,0.0
IQGAP3,0.0
IQGAP2,0.0
IQGAP1,0.0
IQCB1,0.0
IPPK,0.0
IPO8,0.0
IPO5,0.0
ITGB1,0.0
ITGAV,0.0
ITGA9,0.0
ITGA6,0.0
ITGA5,0.0
ITGA4,0.0
ALDH7A1,0.0
ALDH4A1,0.0
ALDH3A2,0.0
ALDH2,0.0
ALDH18A1,0.0
ALAS1,0.0
AKR7A2,0.0
AKIRIN2,0.0
AKIRIN1,0.0
AIDA,0.0
KANSL2,0.0
KANK1,0.0
JUP,0.0
JPH1,0.0
JMJD1C,0.0
JARID2,0.0
JAK1,0.0
JAG1,0.0
JADE3,0.0
JADE1,0.0
IVNS1ABP,0.0
ITPK1,0.0
ITM2C,0.0
ITM2B,0.0
ITM2A,0.0
ITGB1BP1,0.0
KIF15,0.0
KIF13B,0.0
KDM6A,0.0
KDM5A,0.0
KDM3A,0.0
KDM1A,0.0
KDF1,0.0
KCTD9,0.0
KCNK1,0.0
KCMF1,0.0
KBTBD4,0.0
KBTBD2,0.0
KAT7,0.0
KAT6B,0.0
KAT6A,0.0
KAT5,0.0
KLHDC3,0.0
KLHDC2,0.0
KLF7,0.0
KLF10,0.0
KIZ,0.0
KIT,0.0
KIFAP3,0.0
KIF5C,0.0
KIF3A,0.0
KIF2C,0.0
KIF22,0.0
KIF21A,0.0
KIF20B,0.0
KIF20A,0.0
KIF18A,0.0
KIF16B,0.0
LAMP2,0.0
LAMC1,0.0
LAMB1,0.0
LACTB2,0.0
LACTB,0.0
L3MBTL3,0.0
KYAT3,0.0
KYAT1,0.0
KPNA7,0.0
KPNA1,0.0
KMT2E,0.0
KMT2C,0.0
KMT2A,0.0
KLHL28,0.0
KLHL20,0.0
KLHL13,0.0
LMNA,0.0
LMBRD1,0.0
LIPA,0.0
LINS1,0.0
LIN7C,0.0
LIMS1,0.0
LIMK2,0.0
LIAS,0.0
LHFPL2,0.0
LGMN,0.0
LEPROT,0.0
LEO1,0.0
LEF1,0.0
LDHA,0.0
LCLAT1,0.0
LAPTM4A,0.0
LSM8,0.0
LSG1,0.0
LRWD1,0.0
LRRFIP2,0.0
LRRC59,0.0
LRRC57,0.0
LRRC4C,0.0
LRRC42,0.0
LRR1,0.0
LRPPRC,0.0
LRPAP1,0.0
LRP6,0.0
LRAT,0.0
LPGAT1,0.0
LPCAT2,0.0
LPAR2,0.0
MAP2K4,0.0
MAP1LC3A,0.0
MAP1B,0.0
MAOA,0.0
MANBA,0.0
MAN2A1,0.0
MAN1A2,0.0
MALT1,0.0
MAGT1,0.0
MAGI3,0.0
MAGED1,0.0
LYSMD3,0.0
LXN,0.0
LTN1,0.0
LTA4H,0.0
LSMEM2,0.0
ADNP,0.0
ADM,0.0
ADK,0.0
MBNL3,0.0
MBNL1,0.0
MBIP,0.0
MAT2B,0.0
MASTL,0.0
MAPRE2,0.0
MAPKAPK3,0.0
MAPK8,0.0
MAPK14,0.0
MAP4K4,0.0
MAP3K7,0.0
MAP3K15,0.0
MAP3K1,0.0
MCM3,0.0
MCM2,0.0
MCFD2,0.0
MCAT,0.0
MBTD1,0.0
MBOAT1,0.0
AGPAT5,0.0
AGPAT4,0.0
AGK,0.0
AGGF1,0.0
AFTPH,0.0
AFAP1L2,0.0
AEN,0.0
AEBP2,0.0
ADSL,0.0
MED15,0.0
MED14,0.0
MED13L,0.0
