gene,n_cpg_1x,n_cpg_5x,n_cpg_10x,frac_5x,frac_10x
ENSSSCG00000001746,1,1,0,1.0,0.0
ENSSSCG00000001748,2,0,0,0.0,0.0
ENSSSCG00000001750,7,1,1,0.14285714285714285,0.14285714285714285
ENSSSCG00000001751,7,4,2,0.5714285714285714,0.2857142857142857
ENSSSCG00000001752,15,9,0,0.6,0.0
ENSSSCG00000001755,3,1,0,0.3333333333333333,0.0
ENSSSCG00000001756,18,5,3,0.2777777777777778,0.16666666666666666
ENSSSCG00000001757,11,1,1,0.09090909090909091,0.09090909090909091
ENSSSCG00000001760,39,26,20,0.6666666666666666,0.5128205128205128
ENSSSCG00000001762,22,7,5,0.3181818181818182,0.22727272727272727
ENSSSCG00000001764,6,0,0,0.0,0.0
ENSSSCG00000001765,19,0,0,0.0,0.0
ENSSSCG00000001769,26,16,8,0.6153846153846154,0.3076923076923077
ENSSSCG00000001770,15,4,3,0.26666666666666666,0.2
ENSSSCG00000001771,30,7,2,0.23333333333333334,0.06666666666666667
ENSSSCG00000001773,12,1,1,0.08333333333333333,0.08333333333333333
ENSSSCG00000001775,16,4,2,0.25,0.125
ENSSSCG00000001776,3,3,1,1.0,0.3333333333333333
ENSSSCG00000001779,28,5,5,0.17857142857142858,0.17857142857142858
ENSSSCG00000001780,14,2,0,0.14285714285714285,0.0
ENSSSCG00000001782,65,12,7,0.18461538461538463,0.1076923076923077
ENSSSCG00000001787,10,7,2,0.7,0.2
ENSSSCG00000001788,4,1,1,0.25,0.25
ENSSSCG00000001789,1,0,0,0.0,0.0
ENSSSCG00000001790,1,1,1,1.0,1.0
ENSSSCG00000001792,20,7,5,0.35,0.25
ENSSSCG00000001793,47,9,7,0.19148936170212766,0.14893617021276595
ENSSSCG00000001795,12,2,1,0.16666666666666666,0.08333333333333333
ENSSSCG00000001798,51,16,8,0.3137254901960784,0.1568627450980392
ENSSSCG00000001800,39,12,10,0.3076923076923077,0.2564102564102564
ENSSSCG00000001801,28,8,6,0.2857142857142857,0.21428571428571427
ENSSSCG00000001804,42,10,10,0.23809523809523808,0.23809523809523808
ENSSSCG00000001805,10,0,0,0.0,0.0
ENSSSCG00000001806,4,0,0,0.0,0.0
ENSSSCG00000001807,12,1,0,0.08333333333333333,0.0
ENSSSCG00000001808,24,4,2,0.16666666666666666,0.08333333333333333
ENSSSCG00000001810,62,14,9,0.22580645161290322,0.14516129032258066
ENSSSCG00000001814,12,4,3,0.3333333333333333,0.25
ENSSSCG00000001816,10,0,0,0.0,0.0
