gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,gene_symbol,sig
ENSSSCG00000002036,88.61840739890731,-14.183306073985115,2.4667601786135185,-5.749770973665169,8.936441995237873e-09,5.819357675406395e-07,ENSSSCG00000002036,ENSSSCG00000002036,True
ENSSSCG00000025542,4579.463026039285,4.148034935089766,0.7232384732170941,5.735362662108619,9.7303911874799e-09,6.28943655569997e-07,ENSSSCG00000025542,NEMP1,True
ENSSSCG00000010897,556.4014106357745,-5.437676545777453,0.9483477357354129,-5.733842493503412,9.818051165565884e-09,6.299434887553522e-07,ENSSSCG00000010897,ZBTB41,True
ENSSSCG00000016520,45.482670256956666,-10.729382215908501,1.8754650208160548,-5.720918330558848,1.059498195823599e-08,6.748307486683741e-07,ENSSSCG00000016520,CREB3L2,True
ENSSSCG00000013262,541.2641038768481,4.800475645563461,0.8395081931260391,5.718199875677383,1.0765846269978117e-08,6.75847298934022e-07,ENSSSCG00000013262,AMBRA1,True
ENSSSCG00000040918,14867.339889561172,3.5086565786974355,0.6135760368578371,5.718372895828028,1.0754892017713505e-08,6.75847298934022e-07,ENSSSCG00000040918,LTV1,True
ENSSSCG00000001801,52.177039292059135,-7.328919486540574,1.2835868466392761,-5.709718439176408,1.131632292692783e-08,7.053302418598017e-07,ENSSSCG00000001801,BTBD1,True
ENSSSCG00000030289,1201.7975818301204,-5.2838063168362766,0.9256737802200983,-5.70806522744972,1.1426763215130053e-08,7.071626653562045e-07,ENSSSCG00000030289,PTPN11,True
ENSSSCG00000005338,160.23176451486236,-5.855329957822985,1.02612123033253,-5.706275033336438,1.1547535557898983e-08,7.096041921001868e-07,ENSSSCG00000005338,RECK,True
ENSSSCG00000009425,467.27555655651076,-3.9039895746105877,0.6859673879822564,-5.691217458739555,1.2613674130414874e-08,7.696987444895118e-07,ENSSSCG00000009425,LACC1,True
ENSSSCG00000016464,114.71468433466163,-5.876036231632314,1.0329843042070221,-5.688408050055607,1.2822912523873518e-08,7.7703287974528e-07,ENSSSCG00000016464,CASP2,True
ENSSSCG00000024219,621.9934933714225,-15.119365758401159,2.658767193765259,-5.686607610420229,1.2958774153115692e-08,7.798500914488794e-07,ENSSSCG00000024219,TIGAR,True
ENSSSCG00000002427,488.15847332921646,-4.9503067959225096,0.8707879219301384,-5.684859276584755,1.3092041777430623e-08,7.824736749990384e-07,ENSSSCG00000002427,ENSSSCG00000002427,True
ENSSSCG00000003709,105.64953704458391,-5.001546117079954,0.880734542780735,-5.678834965741912,1.3561524512824383e-08,8.01024311910115e-07,ENSSSCG00000003709,LAMA3,True
ENSSSCG00000031680,103691.33853832708,2.5556263856994055,0.4500509943685677,5.678526250753007,1.3586018583852512e-08,8.01024311910115e-07,ENSSSCG00000031680,GGPS1,True
ENSSSCG00000027085,344.211934160671,-5.080263501140972,0.8955448133950529,-5.672818853007984,1.4046674129328768e-08,8.226260298827035e-07,ENSSSCG00000027085,UQCRFS1,True
ENSSSCG00000017172,51.187868288632885,5.778070665562354,1.0190546708549248,5.670030108114714,1.4277242721802424e-08,8.305547999363196e-07,ENSSSCG00000017172,ST6GALNAC1,True
ENSSSCG00000040056,681288.9536739087,2.5113739457724735,0.44465749676211863,5.647883964758611,1.6243474861371472e-08,9.386792161611091e-07,ENSSSCG00000040056,ENSSSCG00000040056,True
ENSSSCG00000060083,17673.553883275395,4.412634146773669,0.7817701139873428,5.644413962395487,1.6574484068772033e-08,9.45287241726175e-07,ENSSSCG00000060083,ZBTB18,True
ENSSSCG00000009940,120.14411375177947,-5.653963601989324,1.0016881618024955,-5.6444348826238055,1.6572468961908073e-08,9.45287241726175e-07,ENSSSCG00000009940,ALKBH2,True
