gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,gene_symbol,coefficient
ENSSSCG00000000295,659.455923633224,-0.9699900766503204,1.7724821888143116,-0.5472495479907687,0.5842073000464576,0.9999642144719292,ENSSSCG00000000295,NCKAP1L,condition[T.PA]
ENSSSCG00000000296,24755.427713126883,0.8355123561822928,1.198491578308208,0.6971366101393077,0.48571730480969644,0.9999642144719292,ENSSSCG00000000296,ENSSSCG00000000296,condition[T.PA]
ENSSSCG00000000299,16.607825554827727,-3.6984823946805987,5.5694108835829015,-0.6640706659985731,0.5066450837484926,0.9999642144719292,ENSSSCG00000000299,TESPA1,condition[T.PA]
ENSSSCG00000000327,25.701967776587473,-10.193676175953987,8.818646892847646,-1.155922932374303,0.24771268159568516,0.9999642144719292,ENSSSCG00000000327,ENSSSCG00000000327,condition[T.PA]
ENSSSCG00000000333,1.5173203573386516,-2.006022724035526,7.658529994721805,-0.26193312886651354,0.7933729978898447,0.9999642144719292,ENSSSCG00000000333,ENSSSCG00000000333,condition[T.PA]
ENSSSCG00000000359,2.4018835559552465,1.2226258796353633,7.211101514038362,0.16954772821533448,,,ENSSSCG00000000359,BLOC1S1,condition[T.PA]
ENSSSCG00000000361,28.156062389972423,4.570099016792804,3.172393548063968,1.4405838832895816,,,ENSSSCG00000000361,CD63,condition[T.PA]
ENSSSCG00000000364,933.5506795645822,1.5462159534245814,2.1020103263681587,0.7355891329497531,0.4619807779487054,0.9999642144719292,ENSSSCG00000000364,SARNP,condition[T.PA]
ENSSSCG00000000365,396.45919902922765,-1.0194688656115698,2.9248424319360025,-0.34855514077617034,0.7274233104458516,0.9999642144719292,ENSSSCG00000000365,ORMDL2,condition[T.PA]
ENSSSCG00000000366,7291.752015883132,-0.8550942604190095,1.913377948460001,-0.4469029556378234,,,ENSSSCG00000000366,DNAJC14,condition[T.PA]
ENSSSCG00000000376,303.048851886615,-5.346566896284364,3.2234308118042296,-1.6586572532300654,0.09718487776634371,0.9999642144719292,ENSSSCG00000000376,SUOX,condition[T.PA]
ENSSSCG00000000377,21426.381458934335,1.018706005312088,1.9342877588365357,0.5266569054465994,0.5984318670835205,0.9999642144719292,ENSSSCG00000000377,ENSSSCG00000000377,condition[T.PA]
ENSSSCG00000000379,661.134256600083,-0.6034347865613334,1.930981526723452,-0.3125015844067964,0.7546593591307147,0.9999642144719292,ENSSSCG00000000379,ESYT1,condition[T.PA]
ENSSSCG00000000382,131.3597982443796,-0.49308491441541497,2.199786545675378,-0.2241512547591422,0.822639611443144,0.9999642144719292,ENSSSCG00000000382,SMARCC2,condition[T.PA]
ENSSSCG00000000383,70.90255618355232,-0.06432344055222229,2.6665854390170733,-0.02412202497285535,0.9807552750450055,0.9999642144719292,ENSSSCG00000000383,RNF41,condition[T.PA]
ENSSSCG00000000384,8.630764370961522,1.5340636565316934,5.726095672506868,0.2679074441416178,,,ENSSSCG00000000384,NABP2,condition[T.PA]
ENSSSCG00000000386,2132.7260796452324,-0.3639933182258827,2.3172576796418234,-0.15707934487551029,,,ENSSSCG00000000386,ANKRD52,condition[T.PA]
ENSSSCG00000000393,43.94110516239718,-2.2475133897302557,2.0578279338042442,-1.0921775104759832,,,ENSSSCG00000000393,PAN2,condition[T.PA]
ENSSSCG00000000394,90.37558459704927,0.2189330126092146,3.067389113578162,0.07137438534944315,0.9430997951355634,0.9999642144719292,ENSSSCG00000000394,CNPY2,condition[T.PA]
ENSSSCG00000000396,2159.9293571044886,-0.3033192584771792,2.3493458901657207,-0.1291079613891096,,,ENSSSCG00000000396,STAT2,condition[T.PA]
ENSSSCG00000000399,71.50420967104043,-4.827362168306139,2.759938747653724,-1.7490830810683644,,,ENSSSCG00000000399,TIMELESS,condition[T.PA]
ENSSSCG00000000401,130.97461357073877,0.24777683003748152,1.8942497929728483,0.13080472858261152,,,ENSSSCG00000000401,GLS2,condition[T.PA]
ENSSSCG00000000402,10785.217068145566,-0.4241444881424818,1.5840199833015018,-0.26776460689495624,0.7888805157782964,0.9999642144719292,ENSSSCG00000000402,RBMS2,condition[T.PA]
ENSSSCG00000000403,9705.424257758395,-0.030703506749212687,2.0802297918879096,-0.014759670719525539,0.9882239141777968,0.9999642144719292,ENSSSCG00000000403,BAZ2A,condition[T.PA]
ENSSSCG00000000405,749.893451805148,2.247251301719675,2.712257994204929,0.8285536650721288,0.4073570162062101,0.9999642144719292,ENSSSCG00000000405,ENSSSCG00000000405,condition[T.PA]
ENSSSCG00000000406,18600.7859955646,-2.382821727961278,1.8842628873856462,-1.2645909145232732,0.20601801163272904,0.9999642144719292,ENSSSCG00000000406,PTGES3,condition[T.PA]
ENSSSCG00000000431,32.95617777581577,-3.481169779416228,3.2321099703419844,-1.0770579625568528,0.28145437172144594,0.9999642144719292,ENSSSCG00000000431,MBD6,condition[T.PA]
ENSSSCG00000000436,141.25681756527186,1.83519138845808,2.4213754432613444,0.7579127778657345,0.4485032002407472,0.9999642144719292,ENSSSCG00000000436,PIP4K2C,condition[T.PA]
